"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cfp",815.122187022396,-2.31364367670989,0.238925949688553,-9.68351775822505,3.54310490948844e-22,5.42413930593585e-18
"Ifitm2",14286.4539642302,-0.760675460587476,0.099684146884808,-7.63085690512545,2.33198410678026e-14,1.78501723453495e-10
"Hesx1",357.015454039646,-2.26401236795479,0.30590836218477,-7.40094959086903,1.35214057972299e-13,6.89997337832643e-10
"Adck5",952.551162489854,-1.0298057756413,0.143984536699207,-7.1521970292729,8.53998692406675e-13,3.26846649551345e-09
"Gli2",3317.48813526533,-0.939775130386225,0.133167360969692,-7.05709810229031,1.70015600669707e-12,5.20553766130509e-09
"Slc25a24",99.8102203740795,1.86417725550091,0.266412458495026,6.99733513226715,2.60876760224261e-12,6.65627053712203e-09
"Dmrt1",541.532342854476,-1.72166685992335,0.248616102428842,-6.92500141022089,4.35971178395576e-12,9.53468967151124e-09
"Usp26",1870.88834065497,-5.32734942959055,0.789405846046712,-6.74855583635406,1.49323935825502e-11,2.85750016694076e-08
"Gjb1",68.4305412459524,-2.82046595829716,0.419408921297807,-6.72485923658846,1.75762272941388e-11,2.989716262733e-08
"Ergic1",6098.09716458766,-0.828417011754024,0.124639767574679,-6.64649034472625,3.00164130703616e-11,4.59521267694165e-08
"Dapk1",1598.35630364951,1.19664201270779,0.183523288578075,6.52038235571781,7.0128392587544e-11,9.75995965566101e-08
"Peg10",8612.23642530384,3.06471287583449,0.492633646387356,6.22107908850529,4.9374718390125e-10,6.2989796986202e-07
"Chd3",2416.84104660291,-1.66627238200474,0.268801720748631,-6.19889030979436,5.68626422020174e-10,6.6285239699824e-07
"Abcc2",44.1410776954775,-3.26138577653838,0.526980505470776,-6.18881674498535,6.06175031548459e-10,6.6285239699824e-07
"Plxna3",978.551835414858,-1.37982021392491,0.223503167352866,-6.17360474246189,6.67502928598353e-10,6.81253488927479e-07
"Grm4",255.551915077477,-1.76117714562305,0.287035802203408,-6.13574032264796,8.47635193046815e-10,8.11027948147106e-07
"Timm8b",1858.24601549414,-0.679425184834813,0.110952399484374,-6.1235736044672,9.14995572881252e-10,8.23980425014064e-07
"Dock6",5485.26315971868,-0.80657501928104,0.132102840003096,-6.10565994843212,1.02376770252867e-09,8.7071443100063e-07
"Smyd1",375.547572577662,3.05206034110853,0.502477300936012,6.07402630013966,1.24742284321458e-09,1.00509454246168e-06
"Slc25a12",2334.09737138502,-0.85502805694802,0.142239317403152,-6.01119347700888,1.84162454734353e-09,1.36696682203226e-06
"Dalrd3",1550.5270795271,-0.669473667110387,0.111425350577537,-6.00827068203407,1.8751259561485e-09,1.36696682203226e-06
"Pola1",5261.63874306964,-0.855425267139917,0.143079025544865,-5.97869089394716,2.24937915008427e-09,1.56526115493818e-06
"Ndufb10",2847.93675443153,-0.977336412702343,0.164586623167015,-5.93812786176788,2.88295169773868e-09,1.91891771916006e-06
"Chchd10",9526.18614407393,-1.21620874299297,0.208980966965212,-5.819710572951,5.89496148856166e-09,3.76024855951627e-06
"Kcnk6",229.702202185922,1.74113951071952,0.302312905037672,5.75939525473633,8.44158233777308e-09,5.16928736035872e-06
"Lpp",491.145710627452,2.01514360180453,0.350437915997438,5.75035836538664,8.90544811604614e-09,5.24359635417501e-06
"Fmn1",207.657442610442,1.36192087333166,0.238646289591452,5.70685961915935,1.15079617322313e-08,6.52501430217515e-06
"Tmem180",1486.86899242511,-1.24656609849524,0.220471602991415,-5.6540891506276,1.56674879441214e-08,8.56619903344838e-06
"Krt19",227.595695064842,3.16602522728171,0.561489893904527,5.63861480260239,1.7142351763574e-08,8.66936464217518e-06
"Armcx2",1269.54431749581,-2.2903261578586,0.406235411725075,-5.63792838278857,1.7210805350147e-08,8.66936464217518e-06
"Ubd",1044.44778253715,1.74919280500277,0.310442416703203,5.6345161321015,1.75550528386851e-08,8.66936464217518e-06
"Itpka",1223.64369315184,-1.30655735789456,0.232558158049539,-5.61819619166504,1.92961322138295e-08,9.23139025192239e-06
"4833417C18Rik",73.7966274072223,-1.81718402233379,0.324879589281892,-5.59340778025008,2.22655512778658e-08,1.03291916519045e-05
"Lrrfip1",726.191123297433,1.7313247361276,0.310970017354862,5.56749731325997,2.58424061475868e-08,1.16359234033355e-05
"Firre",4847.69800229563,-1.50819069130575,0.271264522755539,-5.55985233891022,2.70002990028886e-08,1.18099307838635e-05
"9630028I04Rik",347.58368359893,-2.2071450634915,0.403414010567893,-5.47116611142103,4.47083997566009e-08,1.90122469964945e-05
"Lemd2",1827.2799596274,-0.955109832445446,0.175977550347963,-5.42745270948989,5.7164005998829e-08,2.36519937252993e-05
"Mcf2",4568.77313802741,-1.22493178418292,0.227844715888868,-5.37616937660463,7.60872197098373e-08,3.06531380667868e-05
"Bex4",4212.80706302709,-0.870105769264664,0.162102770207002,-5.36761813603528,7.97832493869397e-08,3.13179939708887e-05
"Npr3",570.821920479939,2.06528798081944,0.386389086922925,5.34509915191112,9.03675723101038e-08,3.45859291123845e-05
"Prrc2b",18355.7892783746,-0.493754025026654,0.0931349409831403,-5.30149071674439,1.1486088982243e-07,4.28879356656483e-05
"Nxt2",805.12232954169,-2.17619730152173,0.410917537791345,-5.29594651330447,1.18401493912458e-07,4.31573445310911e-05
"Nab1",270.724114661032,1.3511444444185,0.255654355672786,5.28504371014059,1.25674746148508e-07,4.47431322973841e-05
"Tmem45a",270.838586809319,1.0556817156297,0.200036429586656,5.27744730202941,1.30995858302418e-07,4.5577627153448e-05
"Ccdc8",244.415065933436,-1.73259600787935,0.328955761389368,-5.2669574795152,1.38703317106709e-07,4.71868684797022e-05
"Map10",464.87442398174,1.04607543235788,0.199763335647972,5.23657371341308,1.63584925668478e-07,5.44417745012768e-05
"Lin28b",704.906505476879,-1.62461206807243,0.311166918708101,-5.22103080500162,1.77929937567851e-07,5.79559449835367e-05
"Plin2",1958.40310780404,1.69708336626677,0.328346563479437,5.1685735592389,2.35887444216631e-07,7.52333517398416e-05
"Clip4",288.995164758291,-2.26514384618158,0.440141119686368,-5.14640360754217,2.65527805982518e-07,8.15852386170496e-05
"Fam20c",149.677678604101,-1.22880719911339,0.238800656432471,-5.14574464522412,2.66461684685641e-07,8.15852386170496e-05
"Armcx4",2963.68358818922,-1.00315269427778,0.195166371422528,-5.13998742183913,2.7475686067503e-07,8.24755447073339e-05
"Rragb",1078.74680157722,-1.96383266818703,0.385196221757928,-5.09826565594192,3.42779542654401e-07,0.000100915615740312
"Stk26",139.73938688956,-2.3808356433482,0.469136740552956,-5.07492898667878,3.87640743776163e-07,0.000109946767310703
"Gcnt1",220.333513427435,2.34501733023313,0.462404721422512,5.07135247888271,3.94998395263489e-07,0.000109946767310703
"Pcbp3",729.630329788224,-1.06935883729461,0.210862707509065,-5.07135116458957,3.95001123658544e-07,0.000109946767310703
"Syngr1",1458.81131893932,-1.12753614980609,0.222594404647668,-5.06542898771785,4.07481660741593e-07,0.000111395299005233
"Tmem62",200.297338944435,1.59755084689872,0.317988163159199,5.02393180622548,5.06242188606923e-07,0.000134791444226786
"Klk1",118.638868846312,-2.08869840742504,0.415888266289363,-5.02225856492856,5.10673705999973e-07,0.000134791444226786
"Abhd14a",1026.86021002672,-0.767343147489398,0.152993257134991,-5.01553572921417,5.28858950404641e-07,0.000137225452063469
"Itpripl2",250.432104762757,1.29585162433867,0.260016189187444,4.9837343912632,6.23686797808212e-07,0.000159133686460765
"Pigq",3224.1513570263,-0.396281811986961,0.0796497099925195,-4.97530765679095,6.5144091293376e-07,0.000163490310427917
"Ankrd24",555.001821777293,-0.745356548244448,0.149983469245333,-4.96959132892999,6.70941628190855e-07,0.000163663848478481
"Cyp11a1",38.0384766271386,2.38517611852398,0.480025849482974,4.96884932570403,6.73513779746835e-07,0.000163663848478481
"Slc35f4",19.998298319352,3.3414028626215,0.675272000215667,4.94823250712946,7.48904189162099e-07,0.000179140222373165
"Ctps2",1334.72352086693,-0.700640425530531,0.142166224569175,-4.92831843606856,8.29403599165843e-07,0.000195343687686614
"Ngfr",1951.90867392637,-0.93719394421838,0.190979392809586,-4.90730403124069,9.23368399510706e-07,0.000214179497395597
"Pold2",4533.62899005466,-0.76338244084786,0.155762941917694,-4.90092464516518,9.53866409535629e-07,0.000215890547595967
"Gatb",901.385524355455,0.712815309898376,0.145476058972642,4.89988053657976,9.58949456955106e-07,0.000215890547595967
"Ctage5",4129.96494278665,-0.600476305947018,0.123056531239685,-4.87967846889356,1.06258930826304e-06,0.00023575622782897
"Alg13",25487.9634618931,-0.828189595920907,0.170482699916362,-4.85790990128155,1.18631366070075e-06,0.000259446797595253
