"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cfp",815.122187022396,-1.67617069301495,0.237665764488675,-7.05263838324017,1.75556672186285e-12,2.4268954363032e-08
"Ngfr",1951.90867392637,-0.999594675847611,0.191059320403328,-5.23185507902705,1.67817299200586e-07,0.00115995317207445
"Dmrt1",541.532342854476,-1.26393958644585,0.247492187050427,-5.10698782660285,3.27334827678279e-07,0.00150835888594151
"Peg10",8612.23642530384,2.33350739046235,0.492657051692094,4.73657564110291,2.1735963677346e-06,0.00653224966517178
"Adamts14",502.424652461113,-1.10857015487845,0.236575625673012,-4.68590181987168,2.78729864839193e-06,0.00653224966517178
"Usp26",1870.88834065497,-3.6841957404456,0.786815661649484,-4.68241281918822,2.83517780606414e-06,0.00653224966517178
"Gjb1",68.4305412459524,-1.8575237191094,0.403933117772565,-4.59859228515965,4.25355289164461e-06,0.008400159310585
"Nab1",270.724114661032,1.16056396883654,0.256331335440063,4.52759303439868,5.96593376320708e-06,0.0103091335428218
"Sox1",257.195009201103,1.39450837631222,0.313121985152915,4.45356264470285,8.44570512043428e-06,0.0129726030649871
"Pabpc6",51.4956715278287,1.65537127796405,0.38237033808857,4.3292355945785,1.49627796508676e-05,0.0206845465893594
"Dapk1",1598.35630364951,0.78094425837174,0.183853952191563,4.24763378248215,2.16040159986756e-05,0.027150356105972
"Chd3",2416.84104660291,-1.10258861119799,0.268553297892318,-4.10566029109086,4.03161603856877e-05,0.0464442167643123
"Itpka",1223.64369315184,-0.94593398333437,0.232230191547277,-4.07326014344607,4.63595926134739e-05,0.0492980775606664
"Abcc2",44.1410776954775,-1.96116808182662,0.487400216219898,-4.02373248218219,5.72829827535947e-05,0.0565628538275495
"Ctps2",1334.72352086693,-0.56921921420679,0.142062462253551,-4.00682351394736,6.15408122258043e-05,0.0567160125473013
"Aoc3",121.829815462578,-1.0152876689629,0.25596886330566,-3.96644988711192,7.2951105150573e-05,0.0597974084546317
"Lamc2",1241.04478928162,1.0113986700536,0.255740837092147,3.95477969632665,7.66052068734167e-05,0.0597974084546317
"Slc25a24",99.8102203740795,1.07601246078504,0.272346875281518,3.95088968681133,7.78612089253017e-05,0.0597974084546317
"Soat2",136.123459037336,-1.50528211536446,0.389245923243821,-3.86717503119887,0.0001101034044348,0.0801089191003515
"Plxdc1",322.179157068811,-1.31164176951162,0.343079772438318,-3.82313932468122,0.00013176327651943,0.0900462400783117
"Cald1",1151.03933055044,1.52172815289457,0.399513526580769,3.80895276792819,0.000139556610473078,0.0900462400783117
"Stra8",437.641442411173,-1.85360486356502,0.487483233053952,-3.80239716544235,0.000143302754754258,0.0900462400783117
"Kcnk6",229.702202185922,1.1434627033488,0.303792292937729,3.763962187096,0.000167242183665984,0.100519823782546
