,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,strand,length,exon_length
Pls3,2015.4016824270002,-2.79517398273493,0.14731078545706,-18.974672995343603,2.7622481659237095e-80,3.9936583982925e-76,chrX,75785653.0,75875170.0,-,89517.0,3492.0
Tceal8,4920.943840638251,-1.7313481056232602,0.0997098666599572,-17.3638594014744,1.5494849300941097e-67,1.12012265596503e-63,chrX,136168983.0,136172251.0,-,3268.0,2358.0
Armcx4,1891.14101950863,-2.4040872146847203,0.16970398468607098,-14.166356901589301,1.47980698262405e-45,7.131683118259529e-42,chrX,134686518.0,134697772.0,+,11254.0,9011.0
Armcx1,1935.2339846737,-2.0311026601100504,0.17040877970070803,-11.919002434483199,9.423003270807969e-33,3.4059445322335396e-29,chrX,134717937.0,134721912.0,+,3975.0,2465.0
Morf4l2,21861.6278686488,-1.4964853367476498,0.136500545660238,-10.9632187146895,5.742010313236829e-28,1.66035970217556e-24,chrX,136732947.0,136743686.0,-,10739.0,2480.0
Hprt,7971.4887239868995,-1.1430492532002599,0.10488439003479401,-10.8981827784007,1.1758212418235098e-27,2.83333725238071e-24,chrX,52988077.0,53021660.0,+,33583.0,1349.0
Gyk,592.119581821068,-2.1842352305657,0.20209310200364702,-10.8080642481616,3.1525212503128397e-27,6.5113074624318595e-24,chrX,85701936.0,85776819.0,-,74883.0,4529.0
Xist,15823.884394535,6.16575032658723,0.582385862023791,10.5870535819006,3.42193577069384e-26,6.18429342158644e-23,chrX,103460372.0,103483233.0,-,22861.0,17918.0
Pja1,1951.8487641798602,-1.9606336927001298,0.190881728238885,-10.271458199741499,9.47613502382494e-25,1.5222884463829e-21,chrX,99465733.0,99470735.0,-,5002.0,2986.0
Maged2,943.422547954135,-2.35329751100771,0.23727401098632198,-9.91805845581367,3.4744882026565496e-23,5.02341504340084e-20,chrX,150806420.0,150814339.0,-,7919.0,2214.0
Mageb16,760.667510710526,-1.9108106960778501,0.200719860533145,-9.51978887890026,1.7353124330965398e-21,2.2808315597918004e-18,chrX,79623230.0,79671435.0,-,48205.0,1946.0
Jag2,818.212680185678,1.17065242975647,0.126425339063067,9.25963448808702,2.0513321833076397e-20,2.4715133921884898e-17,chr12,112908589.0,112929495.0,-,20906.0,4054.0
Zfp280c,1696.37849196705,-2.10121738098794,0.22728572637602198,-9.2448277086775,2.35619998101889e-20,2.6204568711977804e-17,chrX,48541625.0,48594452.0,-,52827.0,4474.0
