,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,strand,length,exon_length
Rragb,1073.13940954919,-4.30448511175645,0.227926485699499,-18.885409909893202,1.5036615784257898e-79,2.1813618518222895e-75,chrX,153139957.0,153171943.0,+,31986.0,2281.0
Fmr1nb,1925.42619063668,-2.50634260460664,0.136438689037377,-18.3697353169381,2.2952838956237396e-75,1.6648841736906797e-71,chrX,68761838.0,68804560.0,+,42722.0,930.0
Wdr45,2652.14704948894,-2.10610858422689,0.120262665764206,-17.512571926155697,1.1488411738401498e-68,5.555412969633019e-65,chrX,7722219.0,7728201.0,+,5982.0,1656.0
Armcx2,1225.1115797012199,-4.49756212404653,0.260565308074091,-17.2607863928212,9.283795411853909e-67,3.3670005009941196e-63,chrX,134804141.0,134809221.0,-,5080.0,3778.0
Xist,39425.5004746914,8.02312124978493,0.4810166582858221,16.6795081034752,1.8473376651356398e-62,5.359865501624559e-59,chrX,103460372.0,103483233.0,-,22861.0,17918.0
Gpc3,4187.11295480435,-3.57455643349818,0.214698965765835,-16.649155345242,3.0690328149196994e-62,7.420409841006689e-59,chrX,52272426.0,52613974.0,-,341548.0,2268.0
Cfp,1047.06377314245,-2.8140974210886003,0.16965509095302303,-16.587167560258,8.629521664662377e-62,1.7884067255608196e-58,chrX,20925534.0,20931524.0,-,5990.0,1524.0
Pls3,2855.40332172849,-4.07618407233145,0.25683845531210603,-15.8706143415251,1.0124501416426998e-56,1.8359517756013297e-53,chrX,75785653.0,75875170.0,-,89517.0,3492.0
Zfp280c,1947.70613566549,-3.5077795128775002,0.225714223052672,-15.5407996245719,1.8367723768272898e-54,2.9606729856259494e-51,chrX,48541625.0,48594452.0,-,52827.0,4474.0
Pja1,1915.6877111030603,-2.80045131386522,0.18070683232702697,-15.4972077026795,3.6229882455004597e-54,5.033044480706139e-51,chrX,99465733.0,99470735.0,-,5002.0,2986.0
Tro,888.676413289221,-3.54141354745515,0.22856874241373898,-15.4938663531024,3.816329309145069e-54,5.033044480706139e-51,chrX,150644709.0,150657583.0,-,12874.0,7245.0
Lrrfip1,932.445877866062,2.23201854840248,0.145909015661945,15.2973312737153,7.9656576570119075e-53,9.629816302522648e-50,chr1,90998726.0,91128944.0,+,130218.0,5743.0
Slc25a5,34481.9624941244,-1.85009303306563,0.12325045914220098,-15.010840900244201,6.235218514517409e-51,6.958024230008e-48,chrX,36795596.0,36798808.0,+,3212.0,1295.0
Nhsl2,245.78438992849,-4.77730430495657,0.32482940457784304,-14.7071177597523,5.802676396122849e-49,6.012816177039589e-46,chrX,101849384.0,102092055.0,+,242671.0,12971.0
Ubqln2,5506.17028461333,-2.0750427682174997,0.14221613421785198,-14.5907690405849,3.215523309725499e-48,3.10983977694586e-45,chrX,153498231.0,153501558.0,+,3327.0,3327.0
Phf6,1685.20446077428,-1.9158027141024099,0.13315874615960302,-14.387359218643802,6.212301127295649e-47,5.632615778354879e-44,chrX,52912213.0,52956961.0,+,44748.0,4420.0
Pdzd11,2282.59901025431,-2.13910728751039,0.149010954232988,-14.3553693654344,9.85988107521833e-47,8.413958515187781e-44,chrX,100622905.0,100625907.0,-,3002.0,1015.0
Armcx4,2710.03604407405,-3.73362765075117,0.26395149600719797,-14.145127825490198,2.00152635314001e-45,1.6131190447223398e-42,chrX,134686518.0,134697772.0,+,11254.0,9011.0
Rps6ka6,4260.117107386421,-1.78893350871483,0.127554535083372,-14.024852252768099,1.0984065557951699e-44,8.386623107852889e-42,chrX,111387836.0,111537959.0,-,150123.0,4683.0
BC023829,800.4408293039841,-2.43248428057469,0.177208314826147,-13.7266938233746,7.0267549707075385e-43,5.096856718002709e-40,chrX,70460055.0,70477043.0,-,16988.0,1989.0
Pkd1l2,389.38131796869794,-2.95014381759216,0.217770307882553,-13.5470434251451,8.24861101896422e-42,5.69821905010066e-39,chr8,116995678.0,117082449.0,-,86771.0,7386.0
Aifm1,5991.1368794809605,-1.98855224628344,0.147633608756319,-13.4695091655296,2.36432472896136e-41,1.55905722013829e-38,chrX,48474943.0,48513563.0,-,38620.0,2368.0
Pgrmc1,4220.68763542119,-2.19673700506344,0.16499285054267301,-13.3141345084846,1.91579655506391e-40,1.2083678532309598e-37,chrX,36598224.0,36606079.0,+,7855.0,1838.0
Klf8,2561.63750353486,-2.9446081405962,0.22169276011695002,-13.282382965699101,2.9292168511151597e-40,1.77058953579698e-37,chrX,153238044.0,153396134.0,+,158090.0,4457.0
Slc7a3,10215.7772442967,-1.8874446895440098,0.142316866229522,-13.262269887955698,3.83121165645607e-40,2.22317550000833e-37,chrX,101079209.0,101085405.0,-,6196.0,2416.0
Hsd17b10,3819.26973070465,-1.7000673909095099,0.129018747018357,-13.1769020409694,1.1918532358542698e-39,6.650082650976129e-37,chrX,152001895.0,152004442.0,+,2547.0,911.0
Tbl1x,3352.59932991039,-2.16984988493859,0.16549152759005803,-13.1115466546031,2.8277222312052897e-39,1.5193246817812997e-36,chrX,77511226.0,77660265.0,+,149039.0,2302.0
Mageb16,714.3662547512289,-2.4912905836530297,0.195241284551584,-12.7600604010307,2.7398855211814195e-37,1.4195542591349598e-34,chrX,79623230.0,79671435.0,-,48205.0,1946.0
Pdk3,2122.23619008697,-2.41149868516362,0.18907036123792398,-12.7545040342363,2.94241486822632e-37,1.4719176721847999e-34,chrX,93764615.0,93832095.0,-,67480.0,2000.0
Fam122b,891.3343242756611,-2.72358700387506,0.213961076336928,-12.729357369590799,4.061683848452349e-37,1.96409491964994e-34,chrX,53243414.0,53269805.0,-,26391.0,4334.0
Plk5,685.545352484918,2.84761738504468,0.22673706573751398,12.559117212627498,3.54263261971248e-36,1.65783778755384e-33,chr10,80356458.0,80365489.0,+,9031.0,2112.0
Cul4b,17713.5489568674,-2.02160587326133,0.162751744466853,-12.4214083227419,2.00009292628505e-35,9.06729627550538e-33,chrX,38531620.0,38576196.0,-,44576.0,5056.0
Abcb7,3852.29351808688,-2.0061962613617803,0.16306280856223,-12.3032117443025,8.70429241503678e-35,3.82645969893753e-32,chrX,104280564.0,104413846.0,-,133282.0,5759.0
Armcx1,2276.1205579063603,-3.2693021479196798,0.266022840948868,-12.2895542963849,1.03072749932808e-34,4.397871715515419e-32,chrX,134717937.0,134721912.0,+,3975.0,2465.0
Wbp5,7534.35268988655,-2.6361214995424,0.215826228916873,-12.2140923870644,2.61402360212589e-34,1.0834754398868598e-31,chrX,136245079.0,136247139.0,+,2060.0,1018.0
Morf4l2,19600.105601063402,-2.4338336113065298,0.203643442470504,-11.951446026350999,6.38052827611924e-33,2.5711756583794897e-30,chrX,136732947.0,136743686.0,-,10739.0,2480.0
Rbmx,860.1135819423951,-2.72956830825037,0.22860816301366002,-11.9399424424196,7.32738819554076e-33,2.8729302852083694e-30,chrX,57383347.0,57393036.0,-,9689.0,3743.0
Zdhhc15,728.457209739288,-2.2745609975393997,0.19106021964132602,-11.9049428594262,1.1153968354550401e-32,4.25817418209112e-30,chrX,104536969.0,104671064.0,-,134095.0,5508.0
Tceal8,3909.12963969435,-3.0003716416343,0.255090054556231,-11.7620094866259,6.125872009649968e-32,2.2786673139485195e-29,chrX,136168983.0,136172251.0,-,3268.0,2358.0
Ctps2,1287.56369205498,-1.52099537360783,0.12982333713714,-11.715885657762101,1.05681038772668e-31,3.83278707368774e-29,chrX,162901559.0,163034541.0,+,132982.0,5835.0
Gpc4,1646.51472743143,-2.32200227593237,0.19840164200083396,-11.703543642661,1.22239975047053e-31,4.32520809270147e-29,chrX,52053017.0,52164923.0,-,111906.0,2325.0
Klf17,136.116519620581,4.7235816960407,0.40647663528078204,11.620795111083801,3.231150030243089e-31,1.1160546068746797e-28,chr4,117756658.0,117765666.0,-,9008.0,3595.0
Rbbp7,13775.109540141899,-1.63354370461739,0.141379335996544,-11.5543314240585,7.019160844479229e-31,2.36806898536884e-28,chrX,162760371.0,162779090.0,+,18719.0,2272.0
Firre,4573.28544364271,-3.33474176426742,0.290521062486654,-11.4784853659986,1.69218895234253e-30,5.579223893552959e-28,chrX,50563119.0,50635321.0,-,72202.0,5815.0
Pfkfb1,558.006179438279,-2.8265576550159706,0.24666875404840902,-11.458920550842302,2.1214226149110198e-30,6.838995083225379e-28,chrX,150589920.0,150643878.0,+,53958.0,1739.0
Myo1g,477.475131897024,3.0556235213007,0.27253754878229103,11.211752417064499,3.57053256385169e-29,1.12603730225645e-26,chr11,6506547.0,6520958.0,-,14411.0,3307.0
Dlg3,1544.06867086,-2.3116528542554797,0.206498060493309,-11.1945499571914,4.3359835760882497e-29,1.33834284549601e-26,chrX,100767721.0,100818410.0,+,50689.0,5637.0
Apex2,1028.65136698467,-3.18436580686484,0.28461452072195803,-11.188346254391101,4.6502579999745e-29,1.4054436001172897e-26,chrX,150571506.0,150588149.0,-,16643.0,1885.0
Maged2,955.660663786715,-3.49776379809511,0.312708917190528,-11.1853663449066,4.8091521517127293e-29,1.4238034747938098e-26,chrX,150806420.0,150814339.0,-,7919.0,2214.0
Efnb1,288.580134384277,-3.44593892334637,0.308381986521595,-11.174254898008002,5.45058670654323e-29,1.58143322703645e-26,chrX,99136060.0,99149022.0,+,12962.0,3358.0
Gyk,703.0071504141631,-3.24579948688039,0.291443325820591,-11.1369834177588,8.287920483849469e-29,2.35750710704322e-26,chrX,85701936.0,85776819.0,-,74883.0,4529.0
Jade3,4286.73747827974,-1.57148345019021,0.14227772287270402,-11.0451827486459,2.31296548670362e-28,6.452728906847979e-26,chrX,20425687.0,20519939.0,+,94252.0,4991.0
Clcn5,718.8364569134129,-2.8300115068547402,0.259920710762355,-10.8879800249631,1.3152512648677401e-27,3.6000660564974298e-25,chrX,7158411.0,7319358.0,-,160947.0,4353.0
Anxa5,439.809566034667,2.7158742021002995,0.24958255928148396,10.8816666113167,1.40961798278343e-27,3.78691260671097e-25,chr3,36448923.0,36475887.0,-,26964.0,1723.0
Maged1,9319.20576851919,-2.3829379474795096,0.22102210702551398,-10.781446161873902,4.21210902534859e-27,1.1110011932860399e-24,chrX,94535473.0,94542074.0,-,6601.0,2752.0
Dcaf12l1,848.740500506207,-3.2029902780004305,0.29803950478145197,-10.7468648505142,6.131022432121939e-27,1.5882632575498798e-24,chrX,44786566.0,44790197.0,-,3631.0,3534.0
Zcchc18,113.022829968864,-4.33558185502131,0.404316722028984,-10.7232316122471,7.91872601514735e-27,2.0153852333639097e-24,chrX,136993154.0,136996923.0,+,3769.0,3327.0
Slc6a8,8498.01151989895,-1.5238815412321398,0.144494795504414,-10.54627286687,5.28522738256685e-26,1.3219447179120199e-23,chrX,73673132.0,73682500.0,+,9368.0,3979.0
Fhl1,2059.7284654068103,-2.4994135098082597,0.237337420757332,-10.531055329718999,6.213393620222629e-26,1.52775764828084e-23,chrX,56731760.0,56793346.0,+,61586.0,2962.0
Acap1,530.2409155865889,1.8023848939119398,0.17127010110699198,10.5236400414454,6.722517760751119e-26,1.62539275258694e-23,chr11,69881566.0,69895539.0,-,13973.0,2482.0
Slc26a10,301.986237590106,2.1179463555860703,0.20231963952744,10.4683181550391,1.20769572922559e-25,2.87213802358618e-23,chr10,127172425.0,127180645.0,-,8220.0,2215.0
Gcnt1,379.14429609128604,2.8966913105786003,0.277423928696841,10.441389552031,1.6044473931005497e-25,3.7541481180176795e-23,chr19,17326140.0,17372844.0,-,46704.0,4723.0
Bex1,17222.3339298123,-3.3055281670462398,0.31686987812643497,-10.4318156922675,1.7746428294764198e-25,4.08646722654197e-23,chrX,136213971.0,136215513.0,-,1542.0,866.0
Mxra8,364.22835785238505,2.0782093138877697,0.20059816857505802,10.360061254049599,3.7672070772969893e-25,8.53919891724179e-23,chr4,155839679.0,155844102.0,+,4423.0,2263.0
Mcf2,4661.05677849894,-1.9837355952392302,0.192083517991313,-10.327463886458801,5.29418159112949e-25,1.18157988219255e-22,chrX,60055955.0,60179089.0,-,123134.0,4502.0
Dusp9,7633.369378241171,-2.23828935097662,0.21834558048173397,-10.2511319259968,1.16965665616585e-24,2.5709407743936295e-22,chrX,73639440.0,73643514.0,+,4074.0,2700.0
Ercc6l,4920.714413548871,-1.3019326990509699,0.12730718709234698,-10.226702268636,1.5055916743237e-24,3.25994304767373e-22,chrX,102142819.0,102157091.0,-,14272.0,4198.0
Timp1,2671.69072748382,-1.96151473347148,0.19227876129077803,-10.201411327510801,1.95411972005265e-24,4.16888452629468e-22,chrX,20870165.0,20874737.0,+,4572.0,890.0
Dmd,1976.3225679805898,-2.57497244729496,0.25300629108794,-10.177503635275,2.4988968856832997e-24,5.2538401624069e-22,chrX,82948869.0,85205050.0,+,2256181.0,13852.0
Lppr3,147.306379338108,2.8483368210657205,0.280652456513155,10.1489823265887,3.3483671868303e-24,6.93925182562102e-22,chr10,79860474.0,79874634.0,-,14160.0,4275.0
Zc4h2,414.828678651557,-1.9722706230033897,0.194708808810304,-10.1293343380518,4.09427121585607e-24,8.36557641245408e-22,chrX,95639193.0,95658509.0,-,19316.0,2256.0
Pir,1193.43540903637,-1.8308937176603002,0.181396230328553,-10.0933393948931,5.91232487076447e-24,1.19125134583584e-21,chrX,164269430.0,164373013.0,+,103583.0,1601.0
Kif4,3650.1883493182704,-1.70154207609384,0.169181804239556,-10.0574768293906,8.51527519522365e-24,1.6922068117412301e-21,chrX,100626064.0,100727271.0,+,101207.0,4712.0
Hprt,8571.60255526827,-1.7455623813494,0.173628727838074,-10.053419172530699,8.87340947039573e-24,1.73954798901393e-21,chrX,52988077.0,53021660.0,+,33583.0,1349.0
Gla,1085.6992625752198,-1.96938219072893,0.197968021328496,-9.94798138362488,2.5735026249455196e-23,4.977840344011289e-21,chrX,134588168.0,134601005.0,-,12837.0,3032.0
C1galt1c1,399.28153858536905,-2.43383984000391,0.246363993321643,-9.879040387311749,5.13220110043197e-23,9.796426495258759e-21,chrX,38630782.0,38635143.0,-,4361.0,1507.0
Zfp275,1870.8160482199899,-1.82612625470357,0.18508225193809805,-9.86656600285117,5.81203400558277e-23,1.09500230284402e-20,chrX,73342619.0,73359080.0,+,16461.0,6377.0
Bcap31,7154.23268499173,-1.3726776192597199,0.139228892165584,-9.85914344292279,6.258096536437339e-23,1.16392572377047e-20,chrX,73686182.0,73716175.0,-,29993.0,1214.0
Pou2f3,788.30960786164,3.52215578778567,0.35860743952970897,9.82175883580315,9.07462315253864e-23,1.66639946928959e-20,chr9,43123938.0,43205755.0,-,81817.0,2522.0
Zglp1,245.55193758325802,2.7519872713796496,0.28088553034440195,9.79754018658547,1.15360664643171e-22,2.09192145247309e-20,chr9,21062392.0,21067093.0,-,4701.0,1010.0
Ammecr1,530.450835942454,-1.8996295831369299,0.196064895053267,-9.68877974112007,3.3652519908060997e-22,6.027124769212849e-20,chrX,142853473.0,142966728.0,-,113255.0,3109.0
Atp2a3,1158.9542366128599,2.84178922976376,0.2935700553354231,9.68010591719524,3.66336267436186e-22,6.48102467280091e-20,chr11,72961168.0,72993043.0,+,31875.0,4606.0
Foxr2,109.788264840448,-3.4864939472341203,0.360929745759025,-9.65975785648289,4.46919068813e-22,7.81139148345807e-20,chrX,153118787.0,153132861.0,+,14074.0,3208.0
Zfp449,411.401052191494,-1.97428325987347,0.20674675072272,-9.54928313490783,1.3059680968991197e-21,2.25543799782327e-19,chrX,56346399.0,56365674.0,+,19275.0,3738.0
Nup62cl,2268.80680068654,-2.9165873189429803,0.305927803404193,-9.53358042809063,1.5195015180008599e-21,2.5933421790162896e-19,chrX,140007672.0,140062568.0,-,54896.0,1128.0
