,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,strand,length,exon_length
Pls3,1764.4629664133,-2.98917670508537,0.272085640098927,-10.9861612101195,4.454725601189309e-28,6.60145786840244e-24,chrX,75785653.0,75875170.0,-,89517.0,3492.0
Dmd,2045.28496387315,-2.0284896454309,0.206068008489338,-9.84378730255867,7.291321031091608e-23,5.20346495991229e-19,chrX,82948869.0,85205050.0,+,2256181.0,13852.0
Armcx1,1632.91912697926,-1.9655389153021001,0.20042782801649303,-9.80671663587732,1.0534040677330999e-22,5.20346495991229e-19,chrX,134717937.0,134721912.0,+,3975.0,2465.0
Xist,13507.4974086658,4.352448355484721,0.47841401836236497,9.09766057939391,9.229842940153919e-20,3.41942606325352e-16,chrX,103460372.0,103483233.0,-,22861.0,17918.0
Duox1,218.882113348709,3.62505303421452,0.40714992560705,8.903484456762849,5.412035431415039e-19,1.3473787396421199e-15,chr2,122315671.0,122347972.0,+,32301.0,5267.0
Gyk,500.967350367797,-2.43923354310713,0.27399113835974803,-8.90260012681299,5.45534276122055e-19,1.3473787396421199e-15,chrX,85701936.0,85776819.0,-,74883.0,4529.0
Maged2,1026.9858408745802,-2.37820379520246,0.269599587447966,-8.82124419296992,1.1319486283852399e-18,2.39633524629156e-15,chrX,150806420.0,150814339.0,-,7919.0,2214.0
Maged1,7185.97915103039,-1.5992613982893402,0.19279293075739604,-8.29522841945799,1.08376753350182e-16,2.00754388487043e-13,chrX,94535473.0,94542074.0,-,6601.0,2752.0
Morf4l2,22540.2382315838,-1.3754820884482801,0.16664454139990803,-8.25398826084225,1.53194408891924e-16,2.52243105041046e-13,chrX,136732947.0,136743686.0,-,10739.0,2480.0
Fgf13,196.004095138862,-1.97223439330502,0.24162842864359,-8.162261387769611,3.28809685826793e-16,4.87263073426725e-13,chrX,59062145.0,59585572.0,-,523427.0,3139.0
Cited1,373.126822164631,-2.3487352363125096,0.300692630690278,-7.81108346726253,5.669844966973829e-15,7.63831205141683e-12,chrX,102247377.0,102252181.0,-,4804.0,1519.0
Apex2,1042.08861407662,-2.0822412056834496,0.267622688272825,-7.780510759837849,7.223232252137859e-15,8.92008989536925e-12,chrX,150571506.0,150588149.0,-,16643.0,1885.0
Gpc3,2928.4448493279997,-1.82414222337958,0.236308365322625,-7.71932987175097,1.16942893717718e-14,1.3330590323099e-11,chrX,52272426.0,52613974.0,-,341548.0,2268.0
Msn,10033.2549120363,-1.6394495721328601,0.21346051431390603,-7.6803411506914605,1.58665480618349e-14,1.67947411234522e-11,chrX,96096044.0,96168553.0,+,72509.0,3840.0
Zdhhc15,827.1003470124859,-1.72755265470132,0.23285422070298803,-7.41903088329613,1.17980402793338e-13,1.16556772599632e-10,chrX,104536969.0,104671064.0,-,134095.0,5508.0
Lrrfip1,1757.0853240971499,1.00104654084194,0.136803722552931,7.317392554538309,2.52835427059838e-13,2.3417301209998296e-10,chr1,90998726.0,91128944.0,+,130218.0,5743.0
Pja1,1871.7931496610897,-2.12581903102383,0.29176974456881,-7.2859474657506205,3.19417436284509e-13,2.63685053576378e-10,chrX,99465733.0,99470735.0,-,5002.0,2986.0
L1cam,683.404239471278,1.78082766311378,0.24443179643440102,7.2855810458837,3.2028685905761604e-13,2.63685053576378e-10,chrX,73853779.0,73880834.0,-,27055.0,5288.0
Pkd1l2,569.28161273056,-1.98286757843532,0.27278175894858603,-7.26906222057557,3.61991650596906e-13,2.82016179193623e-10,chr8,116995678.0,117082449.0,-,86771.0,7386.0
